BMX	PLAGL2	CXCL14	TSPAN8	NPPC	COL9A2	TCF21	NGFR	MYOM1	SPP1	MT1H	ARMCX6	DNAH11	CLDN5
SAMSN1	PLEKHM3	KCTD4	ATP8A2	LEFTY2	ADAMTS17	EBF2	LGALS1	ITGA7	MRC1	STK17A	GTF2E1	LRSAM1	IGFBP3
DPEP2	ULK2	RAB17	NT5E	C2orf88	CTSK	CXCL3	KCNS3	ANKRD18A	IFI30	LANCL3	CBR1	TMEM64	EPHB1
GGT5	CAMSAP1	DNAAF3	FGD6	OSMR	SYP	EMILIN3	GBP1	FGF18	WAS	SMIM1	MRM3	MRPL12	HOMER3
CLEC3B	IPO8	KCTD16	MMP16	ITLN2	SOX9	KIAA1755	CAMK1G	ADCY5	HLA-DPA1	SLC25A39	EIF5AL1	CKB	EMP1
CFH	MSL2	KLK6	BBS1	CNR1	LEKR1	FAT3	GLIS3	FGF1	CD300A	DCAF12	ARNTL	TYK2	SOX7
STOML3	AVL9	FCHO1	LEPR	FUT1	ZNF383	COL1A1	ENTPD7	CORO6	HLA-DRB5	CDKN2B	ARRDC1	STAMBPL1	CDH5
PRTG	ATG2B	PDPN	TSPO	TAGLN3	CCDC121	IGDCC4	UACA	TCAP	LAIR1	PMAIP1	CHEK2	MCCC1	PREX1
PLSCR4	RBM12	TBX18	ADCY7	NOS3	CDC6	FGFR4	LYPD6B	LPAR3	SLA	FAM210B	COASY	KRT19	ARL15
HSPA2	LMBRD2	EFEMP1	ANKRD35	SMTNL2	MAMSTR	DCDC1	SRC	PARM1	PTAFR	MFAP3L	ZNF79	HMGA1	PTPRB
ATL2	ZNF407	SULF1	C2orf74	CMTM5	CCDC191	NCAM2	CCDC74A	MLIP	HCLS1	TCP11L2	PRMT3	ZKSCAN3	FAM89A
NCOA7	ZNF667	HOXB4	RAB11FIP5	FBLN2	NR4A1	GXYLT2	C22orf46	DUSP27	PRAM1	ISG20	SLC38A9	CHCHD10	CCDC88C
ZNF341	MDC1	GSDMA	DKK2	EDNRB	MATN2	TGFBI	DKK1	MTUS2	CD33	FAXDC2	EXOC5	ZNF404	BTNL9
MYCT1	ITPK1	NCCRP1	RFTN1	SERPINB8	CCDC136	BOC	HMMR	MYO18B	CEBPA	GMPR	PPIL1	SMYD2	RASSF2
KDR	ADCK1	LRRN1	CCNJ	LCN15	SHF	CRISPLD2	RAB7B	ADAM11	MILR1	DYRK3	POLI	NLE1	DIAPH2
RASGEF1B	CEP152	SCG5	SOCS3	KLF4	PCGF1	ADM	TTYH1	MT3	LSP1	CDKN2C	CPSF3	HIC2	PLA2G4C
CNTN6	ZNF594	LRRN2	FLVCR2	TCN2	DHX35	SYT6	MIA	SLC30A3	CRYBB1	YOD1	TNFRSF10C	ATP6V1G2	FADS3
CRACR2B	B3GALNT2	TMEM176B	HTR2B	ANPEP	RAD51	FRZB	RNF157	EPN3	NR4A2	HIST1H3H	NME5	CDT1	GIMAP6
LIX1	MUC1	CDON	CCL2	MTMR11	BCORL1	LEFTY1	PTGIR	SMPX	BHLHE41	PCGF5	ZNF449	NDUFAB1	CBX2
ITGA2	FAM135A	LAMB3	AMACR	ARL4D	KCNG1	FIBIN	SH2D2A	STRIP2	LCP2	HIST1H2BJ	POLG2	IDH3A	TCFL5
TMEM178A	MYOZ1	TGM1	ZCCHC18	SP140L	GEN1	SCN7A	RNF152	LMOD3	IL1B	UCP2	GGH	PGAM1	DTNBP1
ANO2	FASN	CSDC2	FAM122C	CADPS2	RNF185	SVEP1	THY1	C1orf105	LY96	ANKRD18B	IDNK	NAA50	EXOC3L1
GDF10	DHX34	PTPRF	ADAMTS1	SERPINB1	ZNF570	KCNE5	DENND2A	CYP2J2	PTPN6	BCL2L1	CNTROB	CENPE	EFCAB14
SBK1	ARFGEF2	APOC3	B2M	DKK2	SYT15	DPP10	LURAP1L	ERBB4	GPR65	CA2	C9orf40	DLAT	PROM1
NAT8	TNK2	BNC1	KCNJ14	HEG1	ZNF586	SERPINE2	ABCA6	TXLNB	CFD	R3HDM4	RPS6KB1	ACO2	CHST15
CDH15	NUP153	LRRTM1	LEF1	FXYD5	NPIPB5	MDGA1	FNDC10	USP2	LAPTM5	AEN	ORC2	MACROD1	KIF26A
NAALADL2	FMR1	TMEM176A	ANO1	CTSH	TMTC2	ST6GALNAC5	FKBP5	PGAM2	RTN1	ADIPOR1	TMEM97	TSEN2	GIMAP4
TLE1	CNOT6	GRIN2A	PLCD1	RASL10A	MORN3	COL17A1	SPRY4	NMRK2	TMIGD3	CHPT1	ZNF569	C18orf25	RNF144A
SOX17	DUSP16	MAG	KCTD18	INHBA	ASPHD2	HTR2A	ADAMTS4	C14orf180	POU2F2	CDKN2D	KLHL35	PFKP	ABO
PIR	ZNF141	EPHB6	TMED8	CRACR2A	JRKL	KCNQ2	KHDRBS3	RNF207	RGS2	CPOX	DHRS1	MYCBP	COL15A1
NOSTRIN	NEK4	ELAVL2	STAP2	CBR3	RFX7	LOXL1	SERPINE1	JPH2	HLA-DQB1	HIST1H1C	LHPP	PAIP2B	MET
THSD7A	ZBTB41	FGF9	SLC8B1	FGF23	SMAD9	TCEAL5	ST8SIA4	TNNI3K	DOCK10	NPL	SCG3	HSPD1	TRAF3IP2
IL18R1	ARHGAP11B	PLEKHB1	LPAR5	KLHL6	SCLT1	KCNK1	EBF3	MYL7	HLA-DMB	HMOX1	BOLA2B	COX5B	GNG11
NGF	ACTR3C	CFC1	NPW	ZNF813	CDC42EP5	SFRP4	FAS	PLEKHA7	FCER1G	PIM1	NFYB	BIRC5	FAM43A
EFNA1	ALG9	HSBP1L1	MROH8	EPB41L4B	PMS2	LFNG	COL4A2	VIPR2	ARHGAP9	TMEM56	THEM4	LYRM7	PCDHB2
