BMX	PLAGL2	CXCL14	TSPAN8	NPPC	COL9A2	TCF21	NGFR	MYOM1	SPP1	MT1H	ARMCX6	DNAH11	CLDN5
RASSF9	MBTPS2	DYNLRB2	ZNF443	DHDH	TIGD7	KCNAB1	AKNA	PALM2	FMNL1	FAIM2	PHRF1	VAC14	PODXL
ABCA8	ZKSCAN7	NXPH2	ZNF282	INPP1	MAP3K6	CITED1	LETM2	EEF1A2	KIAA0930	MAP1A	FARSA	TYMS	VAV3
CEP126	LMBR1	C19orf33	INCENP	PCDHB5	TIMP2	CLDN11	SPATA17	TNNI3	RHBDF2	ALAD	TTC8	CCDC6	XYLT1
GBP7	SFXN2	CLUL1	ZFP36	TRABD2B	SYNPO	JAKMIP2	ZNF385D	STK39	SNX10	MARCH3	PINX1	DHODH	ELFN1
AGA	SHB	SAMD5	EHHADH	PLPP3	TWIST1	PID1	KCNMB1	RRAGD	SLC37A2	NUDT4	SLC10A3	SNU13	SPRY4
CASP7	DNAAF5	SEMA3E	ITM2A	SELL	ZNF850	MUC12	GBP7	KLHL30	TMC8	GCLC	HUS1	PLEKHA2	PRRG3
ANXA2R	RGP1	B3GNT7	ZDHHC24	ZNF600	DNM1	GRIA3	ODF3L1	FBXL22	PPM1N	GCLM	XRCC1	SYNGR1	PRR5L
ULBP2	ALS2	PTK2B	MET	PROSER1	SUV39H2	ARSJ	ZEB2	MYPN	CPVL	BBC3	HDHD2	IPO13	CCM2L
ERP27	FAM193B	ZFP42	TMEM117	ELN	ZNF566	SHISA6	FOXC2	SORCS3	PKIB	SMOX	SPATC1L	SFXN4	LMO2
AGBL3	ZNF629	GUCA1A	BCAR3	CLIC2	MEX3B	PITX2	FREM1	MYL4	TYMP	GLRX5	PROCA1	ZNF669	CLEC2B
N4BP2L1	DCAF5	HCRTR2	DOCK5	ZSWIM5	IL11RA	NDST3	ERRFI1	SLC2A4	BATF3	ARIH2OS	FBXO11	NDUFV1	SLC52A3
SIAE	TBC1D14	COL8A2	PRELID2	LTK	KIF3C	NKD1	PHLDA2	C9orf24	FERMT3	USP20	RAD51C	LRBA	SOX17
IPO11	ZFPM1	CLIC3	SNCG	SMAGP	DNASE1	ASTN1	ZNF324B	OGDHL	UNC93B1	STX1A	FBXO4	HIST1H1E	RPS6KA2
TMEM204	SPATA5L1	KCNJ3	PPP1R35	IGFL2	ADO	NTRK2	REM1	PPFIA4	CXCL1	PITHD1	ASB3	MB21D2	DENND6B
DSC2	LRPPRC	HOOK1	PRKCB	PACRG	FAN1	COLGALT2	NEURL1B	CPT1B	HRH1	EPOR	EIF2S3	MRPL41	PRDM1
CEACAM21	EIF3C	NUAK2	PLEKHM2	ECE1	MICU3	SPIN2A	SDC1	COL11A2	INPP5D	ARL9	AK3	C4orf3	PREX2
EDN1	STX16	LMO3	SHE	GPR143	AP5S1	RAMP1	IGFBP3	HSPB3	PRKCD	LXN	ZC3H10	NDUFB5	TNFRSF10D
NT5E	ATE1	PCLO	GIT1	MICA	DLL3	PDGFRL	DTX4	PAPPA2	DAB2	FAM83D	PACRGL	IMPA2	S100A16
CGNL1	PHF8	CA11	PPP2R5D	ELOVL1	LTBP4	XPNPEP2	APOE	CUX2	STAB1	E2F1	ECE2	UQCR10	RNF125
RAPGEF5	HELB	RHPN2	CUBN	CYP4F12	ANKS1A	DSC3	FRMD6	PKP2	TAGAP	XPO7	PTDSS2	CCDC85C	IPO11
PLK2	USP25	RBP7	ADCYAP1	PELI2	RAD9A	GRIN2D	ZFP69B	KCNJ5	ARL11	FAM104A	VPS51	COQ3	SLC9A1
CLSTN3	SYNE2	SRGAP3	LINGO1	PAK3	SCT	RXRG	PFKFB4	SYTL5	PTPRE	CAT	PLAA	SYMPK	COL4A1
MARVELD2	SDK1	APLP1	SELE	ST8SIA6	ZNF518B	CRABP1	HS6ST2	RD3L	AP1B1	SQSTM1	KMT2B	NDUFA8	KIAA1217
TLR4	NEURL4	ADAM33	CNIH3	AVPR2	TTC25	AOC3	CCR10	ESRRG	SLC7A7	CHST2	EXOC3	C15orf65	DNMT3B
CHGB	ENTPD4	CYP39A1	DAP	ABCC1	POLR1A	ID4	VSNL1	CTNNA3	PYGL	NARF	AP5M1	CHEK1	TUBB3
RFTN2	MTOR	COL2A1	FLYWCH1	PIGZ	FOXJ3	TRPS1	ZNF485	SH3BGR	GAL3ST4	UBAC1	ZNF836	DPCD	ARHGAP27
ST6GALNAC3	WDR35	RASSF7	CPD	PLAC9	HIST1H2AC	PTCHD1	ARHGEF6	ROR1	LYN	REPS2	VTI1A	AGBL5	DGKH
ACTR5	RILPL1	REC8	CDKAL1	VSIG2	XIRP2	F10	C11orf96	DPF3	PIK3CD	NSUN3	RBM27	CDCA7	TSPAN2
PCDHB9	DMXL1	RAB33A	MGST2	PTPRB	FMO4	B3GALT2	FAM162B	ADGRB2	CPM	RGCC	SPIDR	ZNF519	CARD10
MNS1	CNOT1	ASS1	DSN1	IL4I1	C1QTNF1	MBP	SYT17	DPY19L2	HACD4	SOD3	NUP155	PGP	FMNL3
TNFSF9	CSNK1G2	HMGCLL1	SOX8	TMCO4	VASH2	ITGB8	MYO1B	SNAP91	NINJ1	CREG1	MIS18A	FAHD2B	LRRC3B
RPGR	SPIRE1	SSC4D	ACTL10	SEMA3A	TRAF3	ANGPTL1	PPFIA2	FABP3	HLA-DRB1	FAM117A	TEFM	STC1	TLE3
PDE3A	ZNF283	SPINT1	VASH1	SULT1A1	MST1	KLHDC8A	DPPA4	DAB1	FGL2	CLIC2	REXO4	ACYP1	NOX4
SLITRK4	NUP133	LGALS3BP	SH2D4A	LRRC32	NEDD9	PTPRT	ANGPT1	OBSCN	CTSD	CISD2	MFHAS1	EXOSC9	CALM1
TMEM163	ADGRL2	KIAA1211L	SPHK1	HRCT1	BTBD3	TMEM26	MPZ	ART3	SUSD3	FAM214B	ARAF	COX6B1	EPAS1
ZNF773	ARID1B	FAAH	TVP23B	PALM	ZNF260	PDLIM3	SLC2A6	VCAM1	MKNK1	RGS10	NDUFAF6	GTF3A	CYYR1
FNBP1	CSMD1	DPYD	RELB	TAP1	DUSP15	OSR1	TIMP1	OPLAH	RAP1GAP2	SDE2	ZNF676	DAAM1	TNFSF10
ARMCX2	HEATR5B	POU3F1	SLC7A1	F11R	SLC16A8	TOX3	LRFN5	SEC14L5	MYO7A	TRAK2	CLASRP	MAPKAPK3	TSPAN18
PRRG1	TSPOAP1	CLSTN2	RAB27A	CCDC120	GREB1	GAS1	PLOD1	MYL9	RAC2	BNIP3L	EPM2A	DHTKD1	MTSS1
B3GALT1	MKI67	STEAP2	AP1S2	HSPG2	SNAPC4	CCDC184	ENC1	PPP2R2B	TNFAIP3	DRAM1	KBTBD7	COX20	MGLL
ITM2B	PPM1L	GALNT12	UGT8	PCDHGA8	KCTD2	CLMP	STARD5	PRDM16	MAST3	SLC25A53	HSD11B1L	CHCHD6	KDR
QSOX1	PDE3B	PPL	RAC3	CTNNAL1	RARB	SCX	GBP4	ADAMTS6	C19orf38	STK17B	RMND1	MRPL37	SLC2A6
MANSC1	TNPO2	SLC41A2	TMEM104	NSG1	LRRC20	FFAR3	FKBP1B	CNN1	MGAT4A	CNPPD1	GCDH	USP28	ABL2
MYO6	KIF18A	SLC13A3	ALDH2	CDKN2A	ZNF681	TSPAN33	CALD1	PIFO	TM6SF1	B3GNT8	DKC1	GPSM1	ITGA6
LRRC6	LANCL1	TNFRSF8	HERC6	JAG1	ROBO2	TWIST2	PCDHGA3	ENO3	MICAL1	PRDX2	E2F6	NDRG4	ERG
AVPR2	ZBTB26	ATL1	ZNF726	LRRC37A3	ASNS	NCALD	ARHGEF17	NAV1	SLC43A2	AURKA	ZNF398	SNX32	SPSB1
STOM	ZNF808	CD7	TNFRSF25	ECT2	ZNF862	KIAA1211	COL15A1	C5orf38	RENBP	NATD1	GTPBP10	NDUFS7	TCF4
TXNDC16	RSPH3	BEST4	NPHP1	NIPAL3	PLEKHG2	MFAP2	PID1	FITM1	SLC15A3	NMNAT3	PLPP6	TRAPPC5	BOK
NSG1	RLF	C1S	PPARGC1B	ENTPD1	ZNF438	MAMDC2	SEMA6D	LRRC49	KCNE3	RAB2B	POLR2D	GINS2	VEGFC
CACNA2D1	MLLT3	CYP11A1	GJA4	NRG1	DTX3L	FNDC5	EGFL6	MYOZ2	EFHD2	ZNF778	ACSS2	GGA2	PLXND1
C19orf18	ZNF493	PRR15	SAMD13	AQP3	BTN3A2	TMEM217	VSTM4	CKM	NRROS	MOSPD1	ECD	MPND	SH3TC1
COLEC11	SOX12	SCUBE3	MOCS3	SLC25A15	PCDHB16	LHX9	HPS3	MARCH11	MAP3K8	ASF1B	HDAC1	COG5	SH2D3C
ABLIM1	ZNF384	C1QL1	GDAP2	CPNE8	CCNG2	PLAT	TBC1D19	SLC38A1	TRIM22	PPP1R32	TBCC	MECR	HSF2BP
TMC4	PRR12	KIAA1522	NAP1L2	KLF2	SLC25A34	COL9A3	MDGA2	TPM1	RIPK3	FDXR	TRAF6	FAM50B	ZNF624
SLC35A1	EVI5L	SYT1	FN1	TMEM74B	CRYBG3	TRPM3	C12orf66	FAM131C	DENND2D	DDI2	DHODH	ASAH2B	GNGT2
TMEM120A	EXOC8	C11orf87	FOCAD	PALMD	TTC23	ARHGAP24	PSD	HSPB7	SLC40A1	GLUL	ARNT	GOT1	NFE2L3
GMDS	RNPC3	HMSD	LRRC8D	SLC9A3R2	MICALL1	SEMA3C	PHGDH	TOX	TLR5	RNF10	ALDH6A1	PAICS	STS
DUSP6	EIF4ENIF1	VWC2	TAC3	SLC16A9	FNDC4	DGKA	SLFN13	IRX1	ADAM28	STXBP6	LRRC75A	C4orf47	NBEAL2
GATA2	TPRN	CPE	HIST1H2BH	CSRNP2	FBXL20	ACTA2	F3	HACD1	B3GNT5	CCRL2	CWC22	THNSL1	HSPA12B
PDE4A	LRRC73	CTXN1	CNFN	INSIG1	IRAK4	TNC	NOTCH2	MYADML2	SH3BP1	LPIN2	AAMDC	SNTA1	WFS1
NLGN1	AHDC1	CLIP4	ACAT1	LTC4S	G0S2	L1TD1	MICALL2	COLQ	SRGN	RAD23A	WDR83	PRR11	ESAM
HES1	MON2	SLC22A5	FAM71D	ACP5	RHOU	FAM131B	LAMC2	ADAMTSL5	IL16	FBXO7	OXNAD1	ISOC1	PLEKHA1
EPAS1	MCM3AP	GAS6	INTS3	SMAD7	INPP5E	PCSK5	SIMC1	PNMT	DUSP2	CPEB4	SH3YL1	COX10	THEMIS2
F2R	ADAMTS1	PBX4	BEND3	GCNT1	CSRNP3	CPE	SNAI1	SH3RF2	BST2	USP15	ALKBH6	HIGD1A	RNF165
TSPAN7	FKTN	MYLPF	C8orf48	CYB5RL	ARHGAP44	TTYH1	WDR90	WNT5A	CD7	ATG14	CEP78	POLE4	MAP2K6
WBP2NL	MAP10	SCN2A	KCTD13	ACY1	ZNF70	PLEKHH2	AR	EXTL1	CACNA2D3	LYL1	NGLY1	ZBTB8B	C16orf89
MAPK12	ZNF182	LRRIQ1	NAGLU	TBC1D10C	TMEM138	ZFHX4	EVC2	TKTL1	LTB	MAPRE3	WDR53	ZNF668	SCAMP5
NDE1	MIB1	SULF2	SNX11	THSD1	B4GALNT4	MYOF	PTH1R	NEXN	RASSF4	NPRL3	SGO1	MLYCD	CACNG8
FRY	ZNF605	PDE8B	CCDC86	TMEM108	ZNF286A	CYP27C1	HES4	ANO5	ZNF385A	PDCD10	TMEM86A	MRPL53	VWF
TACC1	ZNF335	IQCA1	C1QTNF6	PIGW	SYT4	ARNT2	PPFIBP2	ADAMTS8	MAP3K5	ACSM3	RNASEH2B	CBWD2	TRIM16
SLC27A3	NSMF	PHLPP2	GRWD1	ANO8	HS2ST1	GPC4	TMCO6	ABRA	LRRK2	NAPA	MARCH5	CSRP2	FGF23
STARD13	DLG3	TGFB3	SLC43A1	RNASEL	NAT1	COL1A2	SH3BP1	PDLIM5	RGS19	BBOF1	OSBPL2	PTTG1	SYNJ2
TIE1	ZNF317	ADAMTS5	SAP30	ANKRD33B	ELMOD3	FOXP2	KCNC3	GCNT2	LRRK1	PPP3R1	PRMT6	NDUFA1	HECW2
DOK5	AXIN2	ANKRD28	TET3	TMEM35A	ZNF213	APBA1	SHISA4	SLC29A2	MAFB	PPOX	PEX16	MIOS	MEX3D
PELI1	CTDSPL	DLG2	NEFH	IL1R1	CLIP2	GPR37	TRIL	SLCO3A1	SELPLG	CITED2	EIF3L	GMIP	PLEKHG5
EXPH5	FRS3	COX6B2	ABHD4	DDX60	LEMD2	STXBP5L	AGAP2	KIF26B	GFRA2	C9orf78	COMMD9	COQ4	CFAP161
TMCC3	SMAD4	MYO1D	PSMB8	TFF3	CSGALNACT2	ASTN2	FAAP24	TDGF1	RNASE1	TERF2IP	RAD1	NEURL2	GMFG
LDLRAD3	L3MBTL1	NPY1R	ANKDD1A	TMEM241	USP49	LOXL3	PAQR7	CHRM2	WWP1	RBM38	PPP1R37	ZNF672	MYH9
ZBTB8A	EFHC2	EPHB2	GMDS	GINS4	UBE3D	CDH18	GSN	LPL	P2RX7	CCDC173	LRRC29	TEAD4	GRPEL2
ZNF792	TRPC1	PDZK1IP1	ANKAR	ATP1B1	NR2C2AP	NRXN2	CYB561D1	ACOT11	CCDC189	SELPLG	CKS1B	POLD2	UACA
FOLH1	MTA1	HOXB2	BHLHB9	DNASE1L1	RTN2	BRSK2	PRSS35	SOX3	PYCARD	HTATIP2	SNX8	SOD2	ULBP2
S100A16	SPECC1L	KRT19	USP18	MFNG	TYRO3	AMPH	MASTL	CNTN1	SLC7A8	TMOD1	RPUSD1	PAX8	RNF152
ALG10	SATB1	PTPRZ1	JMJD8	CLIC3	P2RY1	SNTG1	ENDOD1	COX6A2	GATM	MAP1LC3B	ERRFI1	MRPL40	IL16
TMEM185B	CERS1	PLXNB1	OAZ3	PKN3	CAPN15	ACVRL1	ZNF23	FGF5	NAIP	ACP5	FAM98C	COX17	CLEC1A
HHEX	ACVR2B	TRIM46	PCDHGA5	PRX	HS1BP3	ARHGAP6	PRKG1	PLEKHG4B	TBC1D10C	TALDO1	C14orf93	GNB3	GJA5
OPN3	FBRSL1	PAPLN	FBLN7	TMEM154	C11orf95	MATN3	PRPH2	C5orf46	PLTP	MARCH8	SLC25A19	PXN	FGD4
ERG	KREMEN1	IGFL2	NOMO1	ST6GALNAC1	RPP14	TNIK	GPR153	SLC26A9	NAGA	TMEM63B	BNIP1	RILP	TIE1
NRP2	ZNF318	IGFBP5	ZNF563	PCDHGA12	PABPC5	DSEL	CYP4X1	CAMK2B	CD1D	CENPU	ELP3	PEX5	KIAA1671
ZNF433	POLRMT	PCOLCE2	LIF	WFDC1	ZNF101	PRSS23	EPB41L1	GAREM1	PLAUR	ABHD5	ZNF43	MTHFD2	ADCY4
RFC5	EP300	BCHE	MAOB	QSOX1	MYCBP2	GPR153	CMKLR1	FAM81A	CYFIP1	DHRS13	C1orf53	WDR60	SMAD1
MASP1	CSNK2A2	SCN3B	DPP3	SHANK3	EPHA3	FBN3	DENND2C	PPP1R3A	PLCB2	OAZ1	GLOD4	PPCDC	ST8SIA4
BST2	HIST1H2AG	FLRT3	NOP2	FNIP2	CASD1	B3GNT9	ARSE	MAEL	BIN1	LRRC2	ZNF736	COX4I1	A2M
FLI1	IKZF4	WWC1	ARL2	P2RY6	PLEKHA4	COL27A1	CAPN5	GIPR	NFKBID	RSPH9	ATXN7L3B	PRCD	COBLL1
CD40	TAF1	FAM155A	SLC43A3	SNCG	PARD3B	KCNMB4	PHLDA1	KCNQ1	SKAP2	FKBP8	ORC4	NOP16	QPCT
BTN2A2	TRIM33	NEO1	HLA-B	FAM110D	PNMA3	ANKRD65	HNMT	CDH4	SMPDL3A	RIOK3	RRAS2	ZFYVE19	GBP2
NXPH3	PURB	NELL2	ANKRD27	EML1	ZNF197	TMEM54	FEM1C	MIXL1	PTPN18	EHD1	COA7	ATP6V1C1	SGK3
NAV3	VSIG8	FLRT2	COLEC10	RAD51B	CLASP1	MN1	HSPA12A	MYZAP	TMEM37	DCK	BLOC1S5	CRADD	CD24
GDPD3	ZNF319	CYP4X1	PTRH1	ADAMTS3	ARNTL2	ANKS1B	NBPF9	CTNND2	ARL4C	CCDC28A	LRRC27	ECSIT	ADAMTS9
POLR3B	PAPOLG	EYA2	TSKU	ERICH2	CENPL	FHL1	BTBD19	SIPA1L1	TTC7A	NCEH1	MRPL44	RAG1	NOD1
KCNH7	PTBP2	CES4A	CLK2	PLPPR2	AGER	GJC3	TMEM31	PROB1	ARHGAP4	KDM7A	NCDN	EXOSC5	ST8SIA6
RFX2	EFCAB7	FRAS1	TXNRD3	KCNJ2	FANCE	CLCN5	GNG2	CLIC5	FAM49B	UROD	ANKRA2	TMEM223	HIP1R
HAUS7	PWWP2B	TRANK1	FBXO34	NOVA2	LYRM9	C16orf74	MAP1B	GPRIN3	ARRDC2	SLC11A1	PRR3	TMSB15A	LY6H
AFAP1L2	SZT2	BEX2	LDHD	RRAS	GCNT1	WDR66	C11orf24	FIGN	ABCC4	FBXO9	USP14	SCP2	LRRC8C
RASIP1	NECTIN3	ARHGEF5	TRAPPC5	SLC26A11	RNF215	PTGIR	LIMA1	NEFL	ANKRD44	SLC3A2	AARSD1	NDUFB1	FGD5
ACVR1	TAB1	MYO3A	BLM	AQP1	KANSL1L	DCDC2	DDAH1	ABTB2	RPS6KA1	UBE2V1	ZNF512	MND1	SOX11
NAP1L5	ATG9A	ARHGAP32	SERPINB9	RAB3B	SARM1	PIF1	PSRC1	SPEG	MFSD1	ISCA1	POLR2C	SDHA	SEC14L1
FANCB	CABIN1	C9orf116	LIMK2	CARD10	C16orf95	SOD3	SCN9A	SLC47A1	AP5B1	PPP1R14C	DYM	MRPL21	IGF2
SELP	ARL10	C3orf52	TMEM54	SLC44A3	MYLIP	ACSS3	SNAI2	FREM2	KCNAB2	ARG2	AKTIP	RAVER2	ANGPT2
RTN4R	C16orf46	SAMD12	TOMM34	ANO1	DNAJC16	ADAM12	ZNF587B	ACADL	RGS10	PPT2	C4orf33	HMGCS1	GPR4
GPATCH11	CDC25A	FAM3B	SLC35G2	CAMKK1	TRIM8	ALCAM	TCF19	DRD1	SLC12A5	PLIN2	IFT52	MRPL30	LIMK2
LRRC3	PPP4R3A	RAPGEFL1	DYSF	PRUNE2	TANC2	GSG1	CRMP1	EFHD1	GRK3	EMC3	WDR74	MVD	CYP46A1
IFIT2	CDKN3	SLAIN1	SIDT2	FAM72A	CTSF	PRIMA1	CPED1	ERICH5	SAMD9L	MOB1B	CCDC71L	NOMO1	TOR4A
ZNF333	PGBD4	VASN	AGFG2	GCH1	VPS37D	VSTM4	EPS8	DES	SGPP1	GSTO1	RPS3A	HPRT1	FAM171A2
ARSG	PRPF40B	FBN3	UBE2C	SLC39A11	TRPM3	COL16A1	UNC5B	CPT1A	TNFRSF1B	SARNP	WIPF2	HMMR	CPNE5
ZNF852	BBS10	GLI2	PLPP3	EGFLAM	TNFAIP8	NOVA1	PAQR4	DGCR6	UAP1L1	FURIN	RFK	ZNF598	PIK3C2B
ANGPT2	MPRIP	CYB5R2	BTBD8	GBP3	KCTD13	SEMA3D	ACTL10	A4GALT	SHTN1	FOXO4	YPEL1	UQCRC2	CD34
MCU	KMT5A	THSD4	PLCB3	MYCBPAP	MVK	EGR2	LRP3	GLP1R	NPL	GSPT1	C16orf87	COX7C	ATAD3C
SP100	DAB2IP	IL34	PENK	ACPP	SOCS5	ADCYAP1R1	TAGLN2	CLCNKA	RB1	DCUN1D1	ACOT2	MRPL58	ARHGEF7
TMEM150C	MSL1	SH3GL3	FBXO36	CDR2L	RNASEK	FERMT1	LENG9	AMY2B	ALOX5	DHRS11	IRF9	TCEA3	DYSF
FXYD2	KDM4B	OLFM2	FDX1	PC	ATG16L2	EGFL6	S1PR3	ELF3	SLC38A6	SOD1	UCHL3	THAP8	CENPK
MMD	LARP1B	RFX4	FOSL2	C4orf48	HSD17B1	PLA2R1	C3orf67	FRMD3	SAMSN1	RORA	ACAT2	PSMC3IP	CCDC150
IRX5	ZNF121	CYTL1	MAK16	UBAP1L	IER5L	BEND6	KRBOX1	FILIP1	LRRC4	ZCCHC8	AVEN	SLC10A7	FAM124B
SEL1L3	AACS	TNFRSF11B	ATG7	WDR37	CDK13	SPARCL1	LYPD3	CCDC69	PAQR8	CD55	TMEM184C	OPA1	TSPAN15
ROBO3	RBM12B	TMEM37	SLX4	LRRC8B	CNTLN	CCDC110	TPM4	ATP2A2	C16orf89	C1D	DET1	SUCLG1	OSBPL10
CLEC11A	PHKA2	DDX25	ZNF491	TRPV2	TMEM181	PLEKHA5	PCDHGA7	BDH1	DCLRE1A	SPECC1	PCGF6	PPP1R14B	UNC5B
DAPK1	SSH1	FAM221A	ZNF132	LINGO1	ULK3	DMD	IFIT5	RASGRP2	GBP2	GNG2	RALA	AGK	FBLIM1
MOV10L1	SCYL3	EMID1	DEF8	RAB30	PRTFDC1	C14orf39	DPYSL4	NCAM1	PLB1	FGFR1OP2	PNRC2	GYG1	MYO1B
ZNF568	MAP2K4	ANOS1	NCLN	PRR29	SGCD	ARID5B	NXPH4	DOK7	MX1	BSG	REV3L	DPP7	GDPD5
PGRMC1	HEATR5A	PATJ	ATP1B3	ADAMTS9	TCF20	SOX9	FAM86B1	PRKAG2	GMFG	DCAF11	FUBP3	BIVM	GPRC5B
INPP1	IQCG	RAB11FIP1	GPER1	ZNF761	C16orf72	ITPRIPL1	ARHGAP42	TRPC3	CYP2S1	ABAT	PRRT3	ANKRD39	GCH1
RRM2B	PITPNM2	RSPH14	EVL	C1orf50	FUT8	RNF212	ATRNL1	HRC	HMOX1	MOB3C	EIF3E	VMA21	ZNF792
ZNF232	SUPV3L1	PRSS23	PPP1R16B	PRKCB	ZSWIM1	PAMR1	OLFM2	ESRRB	ICAM1	OSER1	IFT22	TMEM14B	C7orf61
LIMS1	NPEPPS	ZFHX2	RRP1B	PARD6A	TMEM192	P3H3	ATP1A2	TCEA3	AFF3	SPTB	CIZ1	PLEKHF1	MAMLD1
CCDC36	REEP2	SNTG1	PDLIM1	F2RL3	DBF4B	TMEM198	AGRN	TP53INP2	LPAR5	AURKC	GNPDA1	TRMU	ITGA5
NINJ2	MCM2	ARAP2	ZCCHC24	CECR2	TMCC1	S100A7	TIGD7	PPP1R3C	ADPRH	NFIX	EIF2A	HSPBP1	AFAP1L1
KDM8	SF3B3	NPNT	SGK1	DHX58	SAMD13	AMT	TMEM74B	NUP210	DAGLB	MAST1	NELFCD	SLC18B1	CRMP1
SLC22A17	GJC1	SMOC2	KLHL3	BTNL9	MUTYH	MARCH4	NES	RASD1	GPSM3	CYB5R1	BORCS6	RNF208	PTPRE
SEMA4F	LPIN1	WT1	TRIM32	PARP9	TMPO	OAF	CORO2B	PRDM8	HAMP	ABCB10	DTWD1	IVNS1ABP	DOK3
STAT1	SCRIB	RERG	GPATCH4	HYAL3	MARVELD1	OSBPL6	CABYR	CRYAB	IL17RA	STXBP2	C2orf69	NDUFAF5	HBEGF
KCTD14	ADHFE1	UCHL1	WNK3	SYT5	LYSMD3	KCNIP4	CRTAC1	PTGES3L	RAB29	BROX	PTRHD1	SLC2A4RG	TTLL11
SYNJ1	RTKN2	SEMA3C	TPST2	STAT6	EPC2	COPZ2	PAPSS2	ACACB	JDP2	ELL2	TCHP	NHSL1	ICAM1
KIAA1549	MED13	MGAT4C	COPRS	PFN4	GXYLT1	CPT1C	HIST2H2BF	ZMAT4	P2RY6	C1orf109	EXD2	UNK	TCN2
BGN	SLC7A6	P4HA2	BRCA2	TNXB	DDX58	SEZ6L2	ZNF417	CASQ1	THEMIS2	H2AFX	ZNHIT2	SMG5	SETD7
FJX1	SIK3	TOM1L1	NR2F2	BATF2	ADAMTS7	KCNB1	ZNF486	MYCN	NFATC2	ZNF264	RPS4X	KIF9	LXN
MAPK3	ARIH1	TVP23A	NSF	GPRC5C	TRIM56	GPR20	TEX9	VEPH1	CD302	UBE2B	NOC4L	PPP1R3B	IGFBP2
CNTRL	ZNF142	DISP1	HIST2H2AC	ST3GAL5	ZNF678	PCDH10	CHSY1	ALPK3	ACPP	ANXA7	PTPN9	GPN2	IFFO2
ARHGDIB	NFX1	CCDC24	HLA-A	AURKC	EFHC1	CSRP2	SH2D3C	DTNA	IL10RA	ABHD3	CHCHD4	METAP1	TMEM181
KCTD12	PEX1	SMCO3	HEATR6	TMEM92	B4GALT4	RARRES1	PTPA	DSP	PLCG2	NAPG	SLC25A14	ST3GAL4	PALD1
LKAAEAR1	PLEKHH1	GPR176	VWCE	ID1	PDE10A	CABLES1	CHST2	GPC1	LPAR6	UBB	HSPB11	NIT2	SH3TC2
PCDHB13	WBP1	FOXO6	PKP4	SERPINB9	PPCDC	FZD1	ANKMY1	EPCAM	PRICKLE3	RCL1	CDC23	MDM1	ETS1
TMCO6	MED1	BCAM	ID1	CTSK	SCAMP1	COL6A1	ZNF324	GPX3	P2RX4	SP6	KCTD11	VDAC3	FAM107B
RAI2	CREBBP	DOCK11	SAAL1	RGS9	TMEM121	SLC45A1	MAP3K7CL	BBS9	GIMAP4	SLC30A1	EEF1A1	LIPT2	SDC3
KIF13B	PRR11	SPINT2	MANBAL	FKRP	AHCTF1	NLGN2	TRIM9	BRINP3	CST3	FAM3B	MED11	COX7A2	CUBN
SPTLC2	AMER1	LRRC1	OTUD3	SMAD6	CUL9	SERINC2	COTL1	MMP15	HLA-B	SLC48A1	TMEM209	MDH1	HTRA1
LIFR	CDCA3	EFNA5	CSRNP1	SMG8	ZDHHC2	ANGPTL2	HTRA3	IRF6	SLC11A1	PPP1R15A	COMMD1	UQCRQ	GTPBP2
OCLN	SLC9A8	GABRB3	DUS1L	NPB	BCAS4	PLBD1	OXER1	SIPA1L2	UBASH3B	G6PD	TIMM10B	ACADM	CASP10
PDE5A	SLC26A2	PERP	CCDC137	IL18R1	SOBP	GBP1	DAAM2	PPP2R3B	APOL6	GABARAPL2	POMZP3	NDUFV3	CX3CL1
SPINT2	ZNF512B	TMEM125	JUNB	TBC1D2	AP4M1	CLCN4	CASP8	XPO4	RNF130	STX18	CCDC88B	THNSL2	PDP1
CLEC1A	FAM217B	ZNF385B	LIMD2	PMEL	RFX1	ADAM33	XYLB	WIPF3	SLC9A7	BBS12	NUP93	DENR	ZNF841
MEGF6	NIPAL1	TM7SF2	IER2	COX4I2	STAT2	PCSK6	TIPIN	CCDC160	ABCA1	FOXO3	CPSF4	EZR	CLEC14A
INVS	TTBK2	PLEKHH2	RPL22L1	SYT17	LAMC1	ARHGAP20	HIC1	STK33	ICOSLG	PPM1A	MYBBP1A	CYB5A	LONRF1
PITPNC1	OSBP	PLPPR1	CD276	LRP2BP	SYNJ2BP	HECTD2	PIANP	FBXO32	LYST	GULP1	SPA17	SLC16A14	PTGFRN
CEACAM1	SPG11	PLPPR3	TMBIM1	RFX8	GOLGA6L9	TWSG1	PGF	AIFM2	MICB	SRSF8	MARS	LYRM1	PRR29
PHKG1	ZNF516	PAWR	RBM34	HGD	SLC7A10	CYP26B1	TNN	GJA1	COTL1	KIAA1586	RPL7	MZT2A	N4BP3
EPB41L4A	SAMD4B	C1orf226	CNOT3	GLUD2	RNF41	HSPA12A	CDC6	TLL2	OSTF1	PA2G4	TRIM65	GM2A	STARD8
APC	SEMA4D	LPAR2	RASSF8	CFLAR	TMEM136	CLMN	BCKDHA	STARD4	MFSD12	HARBI1	RPL14	TOMM40L	SLC12A2
C1GALT1	LANCL2	LNX1	YKT6	SEC14L2	ANKRD49	GPM6B	RNF24	TBC1D8	RNF135	UBXN10	RPA2	HINT2	IQCA1
